date,visits,average_ccu,session_length
2025-05-05,8227814,83305.6194,14.649600737438123
2025-05-06,7092950,71456.1472,14.640711807244196
2025-05-07,6865085,68582.7931,14.47963348176936
2025-05-08,6926737,68637.6681,14.35542525100851
2025-05-09,7714383,76049.7611,14.27323878646247
2025-05-10,10321984,101765.5279,14.273378558924195
2025-05-11,10261952,101314.1458,14.311486427468665
2025-05-12,6897924,67918.1111,14.26374069128001
2025-05-13,6621033,64829.669,14.228120004816514
2025-05-14,6603817,64636.5669,14.158200382343814
2025-05-15,6734073,66202.4069,14.270755697588356
2025-05-16,7714523,76436.6,14.122598703170736
2025-05-17,17122927,149970.0938,13.237004671350373
2025-05-18,15313879,146934.1042,13.870327029265367
